"peak","n_folds_recovered"
"chr10:73158990-73159490",1
"chr10:74824092-74824592",0
"chr10:7485112-7485612",0
"chr10:77837493-77837993",3
"chr10:79316530-79317030",0
"chr10:80203349-80203849",0
"chr10:8036988-8037488",0
"chr10:8045030-8045530",0
"chr10:80457568-80458068",0
"chr10:80485711-80486211",1
"chr10:80535170-80535670",0
"chr10:8060597-8061097",0
"chr10:84177562-84178062",2
"chr10:85612316-85612816",1
"chr10:86756832-86757332",1
"chr10:88962276-88962776",1
"chr10:89163597-89164097",0
"chr10:89164135-89164635",0
"chr10:92087675-92088175",0
"chr10:92849390-92849890",1
"chr10:96513682-96514182",1
"chr10:96610666-96611166",2
"chr10:96830463-96830963",1
"chr10:96831444-96831944",0
"chr10:97418886-97419386",0
"chr10:97428401-97428901",4
"chr10:97713980-97714480",0
"chr11:102345967-102346467",0
"chr11:10307119-10307619",1
"chr11:103682262-103682762",3
"chr11:103735633-103736133",0
"chr11:104653366-104653866",4
"chr11:104705743-104706243",3
"chr11:104736438-104736938",2
"chr11:104798648-104799148",2
"chr11:105000760-105001260",1
"chr11:108221845-108222345",4
"chr11:108854371-108854871",0
"chr11:110522380-110522880",2
"chr11:111436633-111437133",1
"chr11:111926185-111926685",1
"chr11:114059371-114059871",4
"chr11:114073710-114074210",1
"chr11:115201226-115201726",1
"chr11:11577220-11577720",1
"chr11:117097766-117098266",2
"chr11:117143362-117143862",0
"chr11:117143998-117144498",2
"chr11:117815298-117815798",0
"chr11:117828548-117829048",1
"chr11:118002434-118002934",2
"chr11:118145267-118145767",1
"chr11:118306519-118307019",3
"chr11:118401757-118402257",2
"chr11:118436632-118437132",0
"chr11:118610130-118610630",3
"chr11:118841336-118841836",1
"chr11:118911776-118912276",0
"chr11:118929410-118929910",1
"chr11:119094243-119094743",2
"chr11:119321520-119322020",2
"chr11:119339832-119340332",0
"chr11:11995562-11996062",1
"chr11:121450375-121450875",0
"chr11:123057585-123058085",2
"chr11:123381643-123382143",0
"chr11:12366185-12366685",4
"chr11:124115201-124115701",2
"chr11:124920738-124921238",0
"chr11:125513872-125514372",1
"chr11:126332234-126332734",2
"chr11:126465647-126466147",0
"chr11:128301592-128302092",1
"chr11:128520614-128521114",1
"chr11:128528232-128528732",0
"chr11:128551643-128552143",0
"chr11:128841485-128841985",2
"chr11:134036945-134037445",2
"chr11:13462529-13463029",1
"chr11:13550700-13551200",4
"chr11:14270060-14270560",0
"chr11:14554808-14555308",2
"chr11:14569497-14569997",4
"chr11:1515419-1515919",1
"chr11:1566976-1567476",0
"chr11:1571442-1571942",1
"chr11:1589170-1589670",0
"chr11:1690419-1690919",0
"chr11:17353480-17353980",3
"chr11:1852101-1852601",1
"chr11:18698917-18699417",1
"chr11:19076925-19077425",0
"chr11:2151369-2151869",1
"chr11:2217077-2217577",2
"chr11:22657218-22657718",1
"chr11:2265965-2266465",0
"chr11:22829693-22830193",3
"chr11:2400879-2401379",1
"chr11:2428851-2429351",1
"chr11:2430207-2430707",0
"chr11:266623-267123",3
"chr11:267324-267824",4
"chr11:287656-288156",3
"chr11:3036996-3037496",0
"chr11:3056486-3056986",0
"chr11:316983-317483",3
"chr11:3217082-3217582",4
"chr11:33011481-33011981",0
"chr11:33015618-33016118",0
"chr11:35145916-35146416",2
"chr11:354957-355457",0
"chr11:355462-355962",1
"chr11:36352880-36353380",1
"chr11:36487530-36488030",0
"chr11:3808283-3808783",1
"chr11:39366828-39367328",0
"chr11:45917214-45917714",1
"chr11:46238087-46238587",3
"chr11:46381690-46382190",3
"chr11:46670961-46671461",0
"chr11:47186240-47186740",0
"chr11:47400022-47400522",1
"chr11:47407685-47408185",1
"chr11:47848609-47849109",4
"chr11:48005896-48006396",1
"chr11:48008922-48009422",1
"chr11:537105-537605",3
"chr11:567466-567966",1
"chr11:5684888-5685388",0
"chr11:57458601-57459101",3
"chr11:57638445-57638945",0
"chr11:576454-576954",0
"chr11:58524522-58525022",0
"chr11:59106847-59107347",1
"chr11:59537130-59537630",1
"chr11:59668363-59668863",1
"chr11:61333568-61334068",0
"chr11:61775569-61776069",1
"chr11:61791839-61792339",0
"chr11:61792884-61793384",1
"chr11:62112390-62112890",1
"chr11:62124674-62125174",0
"chr11:62545360-62545860",1
"chr11:62557883-62558383",4
"chr11:62558446-62558946",1
"chr11:62602206-62602706",3
"chr11:62678856-62679356",4
"chr11:62710067-62710567",0
"chr11:62770583-62771083",0
"chr11:62840637-62841137",3
"chr11:62881843-62882343",2
"chr11:63536558-63537058",2
"chr11:63537179-63537679",2
"chr11:63582477-63582977",0
"chr11:63681731-63682231",2
"chr11:63767343-63767843",1
"chr11:63768104-63768604",3
"chr11:63769019-63769519",2
"chr11:63837170-63837670",3
"chr11:63937932-63938432",3
"chr11:64000365-64000865",1
"chr11:64165949-64166449",0
"chr11:64229724-64230224",0
"chr11:64300103-64300603",4
"chr11:64300938-64301438",1
"chr11:64316807-64317307",2
"chr11:64653025-64653525",1
"chr11:64722969-64723469",1
"chr11:6474406-6474906",1
"chr11:64809817-64810317",2
"chr11:64854903-64855403",2
"chr11:64856535-64857035",2
"chr11:64869018-64869518",0
"chr11:64869750-64870250",1
"chr11:65014116-65014616",4
"chr11:65014624-65015124",4
"chr11:65113001-65113501",3
"chr11:65133757-65134257",3
"chr11:65261577-65262077",2
"chr11:65262165-65262665",4
"chr11:65355088-65355588",2
"chr11:65385419-65385919",3
"chr11:65417148-65417648",0
"chr11:65419890-65420390",4
"chr11:65422021-65422521",1
"chr11:65426127-65426627",1
"chr11:65448409-65448909",2
"chr11:65454903-65455403",2
"chr11:65501355-65501855",2
"chr11:65501896-65502396",1
"chr11:65506564-65507064",3
"chr11:65516280-65516780",0
"chr11:65557645-65558145",1
"chr11:65558223-65558723",2
"chr11:65569541-65570041",0
"chr11:65574714-65575214",2
"chr11:65615802-65616302",1
"chr11:65780711-65781211",3
"chr11:65818072-65818572",0
"chr11:65833111-65833611",3
"chr11:65860795-65861295",1
"chr11:65889109-65889609",1
"chr11:65891694-65892194",0
"chr11:65899139-65899639",4
"chr11:66001430-66001930",1
"chr11:66022347-66022847",3
"chr11:66045052-66045552",2
"chr11:66068156-66068656",1
"chr11:6611142-6611642",2
"chr11:66116043-66116543",0
"chr11:66348213-66348713",1
"chr11:66438062-66438562",1
"chr11:66466026-66466526",2
"chr11:66545377-66545877",4
"chr11:6655091-6655591",1
"chr11:66578965-66579465",2
"chr11:66744403-66744903",3
"chr11:66744930-66745430",3
"chr11:67239114-67239614",2
"chr11:67303916-67304416",1
"chr11:67317024-67317524",2
"chr11:67317558-67318058",1
"chr11:67351128-67351628",2
"chr11:67371347-67371847",3
"chr11:67419944-67420444",0
"chr11:67420453-67420953",2
"chr11:67508956-67509456",0
"chr11:67583536-67584036",0
"chr11:67616029-67616529",0
"chr11:68040470-68040970",0
"chr11:68121243-68121743",2
"chr11:68206066-68206566",0
"chr11:68209067-68209567",1
"chr11:68213048-68213548",2
"chr11:68840227-68840727",0
"chr11:68840774-68841274",1
"chr11:68842874-68843374",2
"chr11:69641971-69642471",0
"chr11:70270914-70271414",0
"chr11:72781649-72782149",2
"chr11:72812863-72813363",1
"chr11:72822044-72822544",1
"chr11:73143397-73143897",1
"chr11:74170375-74170875",1
"chr11:7436567-7437067",1
"chr11:74748003-74748503",0
"chr11:76380231-76380731",0
"chr11:76445529-76446029",3
"chr11:77066028-77066528",0
"chr11:78000075-78000575",0
"chr11:789859-790359",0
"chr11:796073-796573",0
"chr11:796584-797084",2
"chr11:805021-805521",3
"chr11:81658629-81659129",1
"chr11:81869591-81870091",4
"chr11:826855-827355",3
"chr11:83070362-83070862",0
"chr11:85823685-85824185",2
"chr11:86504063-86504563",1
"chr11:86608317-86608817",1
"chr11:88544300-88544800",0
"chr11:94164387-94164887",0
"chr11:94504647-94505147",0
"chr11:94924538-94925038",2
"chr11:95641526-95642026",1
"chr12:10153721-10154221",0
"chr12:10197846-10198346",0
"chr12:102421781-102422281",3
"chr12:10243756-10244256",2
"chr12:10279912-10280412",4
"chr12:10285910-10286410",0
"chr12:103441370-103441870",2
"chr12:10411123-10411623",1
"chr12:104569755-104570255",1
"chr12:104604512-104605012",0
"chr12:104986015-104986515",0
"chr12:105106962-105107462",0
"chr12:105737903-105738403",1
"chr12:10602585-10603085",1
"chr12:106301522-106302022",1
"chr12:107031254-107031754",0
"chr12:107092048-107092548",1
"chr12:107322010-107322510",0
"chr12:108515427-108515927",1
"chr12:108560131-108560631",0
"chr12:108617275-108617775",2
"chr12:108630886-108631386",0
"chr12:108634371-108634871",0
"chr12:108730200-108730700",2
"chr12:108803432-108803932",1
"chr12:110043066-110043566",2
"chr12:110582474-110582974",2
"chr12:110826588-110827088",0
"chr12:111368919-111369419",0
"chr12:111404745-111405245",1
"chr12:111406413-111406913",1
"chr12:111685258-111685758",1
"chr12:112419436-112419936",3
"chr12:1126054-1126554",2
"chr12:112714117-112714617",0
"chr12:112937671-112938171",1
"chr12:112938201-112938701",2
"chr12:113220460-113220960",1
"chr12:11546016-11546516",0
"chr12:118052669-118053169",0
"chr12:119990308-119990808",1
"chr12:120012269-120012769",3
"chr12:120116553-120117053",2
"chr12:120528927-120529427",1
"chr12:120583342-120583842",1
"chr12:120710174-120710674",4
"chr12:120902761-120903261",0
"chr12:120904153-120904653",2
"chr12:121110251-121110751",2
"chr12:121210574-121211074",0
"chr12:121466293-121466793",3
"chr12:121625634-121626134",3
"chr12:121627215-121627715",4
"chr12:121627778-121628278",4
"chr12:121687378-121687878",3
"chr12:121712470-121712970",2
"chr12:121751453-121751953",1
"chr12:122078441-122078941",2
"chr12:122203474-122203974",3
"chr12:122225372-122225872",0
"chr12:122894553-122895053",0
"chr12:123271004-123271504",2
"chr12:123271636-123272136",2
"chr12:123435822-123436322",3
"chr12:123973556-123974056",1
"chr12:124452807-124453307",0
"chr12:124457791-124458291",0
"chr12:127162845-127163345",2
"chr12:12720662-12721162",1
"chr12:130818908-130819408",2
"chr12:131928314-131928814",2
"chr12:132084696-132085196",1
"chr12:132561108-132561608",2
"chr12:132686554-132687054",0
"chr12:132760986-132761486",3
"chr12:132817998-132818498",0
"chr12:14403632-14404132",1
"chr12:14951664-14952164",1
"chr12:1583395-1583895",1
"chr12:1691331-1691831",0
"chr12:18165526-18166026",3
"chr12:19678471-19678971",2
"chr12:19791974-19792474",2
"chr12:1993967-1994467",1
"chr12:24398538-24399038",3
"chr12:24839353-24839853",1
"chr12:25325387-25325887",1
"chr12:2867872-2868372",2
"chr12:2885194-2885694",2
"chr12:29104635-29105135",1
"chr12:31791257-31791757",1
"chr12:3869847-3870347",0
"chr12:39669459-39669959",4
"chr12:42098000-42098500",2
"chr12:4274910-4275410",3
"chr12:453325-453825",0
"chr12:459666-460166",2
"chr12:47080597-47081097",2
"chr12:47081104-47081604",2
"chr12:47219355-47219855",0
"chr12:47276725-47277225",4
"chr12:47705152-47705652",1
"chr12:47903813-47904313",0
"chr12:48183328-48183828",2
"chr12:48864141-48864641",0
"chr12:48865654-48866154",1
"chr12:48988000-48988500",1
"chr12:49129628-49130128",1
"chr12:49235086-49235586",0
"chr12:49358567-49359067",0
"chr12:49537364-49537864",1
"chr12:49698734-49699234",0
"chr12:49842847-49843347",0
"chr12:50057471-50057971",0
"chr12:50070439-50070939",0
"chr12:50222441-50222941",2
"chr12:50401136-50401636",1
"chr12:51024904-51025404",0
"chr12:51391428-51391928",1
"chr12:52006615-52007115",2
"chr12:52032825-52033325",3
"chr12:52036752-52037252",2
"chr12:52050469-52050969",4
"chr12:52083334-52083834",1
"chr12:52327455-52327955",1
"chr12:52874128-52874628",1
"chr12:52884722-52885222",0
"chr12:53046619-53047119",3
"chr12:53251835-53252335",1
"chr12:53743537-53744037",2
"chr12:53751260-53751760",1
"chr12:539156-539656",1
"chr12:54032499-54032999",3
"chr12:54216104-54216604",2
"chr12:54259401-54259901",0
"chr12:54391119-54391619",2
"chr12:54394172-54394672",0
"chr12:54419039-54419539",1
"chr12:54419580-54420080",1
"chr12:55667109-55667609",0
"chr12:55716212-55716712",1
"chr12:55926255-55926755",2
"chr12:55966494-55966994",2
"chr12:56079176-56079676",2
"chr12:56079821-56080321",4
"chr12:56104745-56105245",1
"chr12:56130261-56130761",0
"chr12:56190037-56190537",2
"chr12:56467779-56468279",0
"chr12:56629518-56630018",0
"chr12:56677152-56677652",0
"chr12:56751641-56752141",1
"chr12:57089449-57089949",2
"chr12:57110380-57110880",2
"chr12:57128133-57128633",2
"chr12:57224804-57225304",1
"chr12:57238224-57238724",1
"chr12:57243594-57244094",3
"chr12:57604604-57605104",0
"chr12:57726003-57726503",0
"chr12:57754110-57754610",2
"chr12:6284930-6285430",0
"chr12:6332939-6333439",0
"chr12:6341859-6342359",1
"chr12:6363750-6364250",0
"chr12:6460909-6461409",3
"chr12:6467515-6468015",0
"chr12:6533342-6533842",1
"chr12:6535519-6536019",2
"chr12:65556628-65557128",1
"chr12:66288075-66288575",0
"chr12:66290795-66291295",1
"chr12:67449378-67449878",1
"chr12:67515556-67516056",1
"chr12:67555261-67555761",4
"chr12:67630121-67630621",2
"chr12:6764163-6764663",1
"chr12:67651275-67651775",0
"chr12:6772172-6772672",3
"chr12:68157312-68157812",2
"chr12:6927422-6927922",3
"chr12:6928048-6928548",1
"chr12:6936546-6937046",1
"chr12:6937373-6937873",0
"chr12:6943896-6944396",3
"chr12:6953737-6954237",4
"chr12:7092377-7092877",1
"chr12:74537555-74538055",1
"chr12:74945878-74946378",2
"chr12:75438303-75438803",0
"chr12:75702623-75703123",0
"chr12:75722589-75723089",3
"chr12:7638600-7639100",0
"chr12:7935167-7935667",2
"chr12:80083830-80084330",3
"chr12:88141963-88142463",1
"chr12:89225302-89225802",1
"chr12:89375834-89376334",1
"chr12:89397986-89398486",4
"chr12:89427454-89427954",3
"chr12:89661610-89662110",1
"chr12:89663626-89664126",0
"chr12:89863440-89863940",0
"chr12:89880661-89881161",3
"chr12:9039340-9039840",0
"chr12:92185040-92185540",2
"chr12:9283415-9283915",0
"chr12:9365041-9365541",0
"chr12:93771943-93772443",3
"chr12:93785145-93785645",3
"chr12:94208087-94208587",1
"chr12:94282686-94283186",2
"chr12:94532742-94533242",0
"chr12:94675964-94676464",4
"chr12:94704384-94704884",4
"chr12:96399169-96399669",0
"chr12:9868213-9868713",0
"chr12:98698791-98699291",0
"chr13:100608873-100609373",1
"chr13:105139717-105140217",4
"chr13:106917953-106918453",1
"chr13:110676946-110677446",1
"chr13:113296889-113297389",1
"chr13:113875878-113876378",3
"chr13:113876529-113877029",1
"chr13:114104551-114105051",3
"chr13:114129554-114130054",3
"chr13:114155208-114155708",2
"chr13:114314987-114315487",3
"chr13:20475757-20476257",0
"chr13:21218674-21219174",2
"chr13:21579881-21580381",1
"chr13:21674217-21674717",0
"chr13:22062093-22062593",4
"chr13:24187153-24187653",0
"chr13:25874829-25875329",0
"chr13:30151449-30151949",0
"chr13:30170508-30171008",0
"chr13:30461617-30462117",1
"chr13:31806975-31807475",2
"chr13:32539246-32539746",0
"chr13:32791600-32792100",0
"chr13:33676610-33677110",1
"chr13:38349592-38350092",0
"chr13:39688684-39689184",0
"chr13:40206519-40207019",2
"chr13:41463771-41464271",1
"chr13:41811520-41812020",1
"chr13:42406263-42406763",3
"chr13:44117205-44117705",2
"chr13:44352103-44352603",2
"chr13:44352611-44353111",2
"chr13:44868335-44868835",1
"chr13:48186228-48186728",1
"chr13:50304296-50304796",1
"chr13:51805217-51805717",2
"chr13:59391589-59392089",0
"chr13:60267364-60267864",0
"chr13:72729097-72729597",1
"chr13:73228486-73228986",1
"chr13:74838026-74838526",2
"chr13:74920911-74921411",1
"chr13:75320756-75321256",1
"chr13:75870242-75870742",1
"chr13:76990735-76991235",1
"chr13:79481554-79482054",0
"chr13:80385940-80386440",0
"chr13:83975579-83976079",1
"chr13:84137234-84137734",1
"chr13:84176165-84176665",0
"chr13:94323682-94324182",4
"chr13:94324345-94324845",3
"chr13:97340392-97340892",0
"chr13:98571013-98571513",1
"chr13:99204628-99205128",1
"chr13:99431823-99432323",3
"chr13:99432798-99433298",2
"chr13:99817971-99818471",3
"chr14:100063486-100063986",1
"chr14:101711524-101712024",1
"chr14:101815874-101816374",0
"chr14:101965640-101966140",0
"chr14:102057528-102058028",0
"chr14:102304930-102305430",4
"chr14:102516744-102517244",0
"chr14:102591327-102591827",2
"chr14:102776558-102777058",1
"chr14:102778050-102778550",2
"chr14:103521510-103522010",1
"chr14:103561769-103562269",0
"chr14:103563022-103563522",2
"chr14:103748448-103748948",1
"chr14:103846898-103847398",1
"chr14:103901001-103901501",2
"chr14:104677644-104678144",4
"chr14:104815359-104815859",2
"chr14:105414800-105415300",0
"chr14:105474458-105474958",2
"chr14:105859791-105860291",3
"chr14:106691505-106692005",2
"chr14:106741003-106741503",0
"chr14:20460635-20461135",2
"chr14:21070782-21071282",0
"chr14:21240748-21241248",2
"chr14:21308628-21309128",1
"chr14:21525615-21526115",2
"chr14:22519434-22519934",1
"chr14:22546205-22546705",1
"chr14:22555055-22555555",3
"chr14:22555662-22556162",1
"chr14:22560306-22560806",0
"chr14:22852968-22853468",0
"chr14:22928714-22929214",2
"chr14:23120703-23121203",0
"chr14:23237601-23238101",1
"chr14:23299602-23300102",0
"chr14:23562664-23563164",4
"chr14:23610304-23610804",1
"chr14:24213797-24214297",2
"chr14:24231496-24231996",0
"chr14:24694642-24695142",1
"chr14:31377990-31378490",0
"chr14:35291519-35292019",0
"chr14:35405285-35405785",0
"chr14:38074683-38075183",1
"chr14:39229032-39229532",2
"chr14:50668169-50668669",0
"chr14:50823213-50823713",2
"chr14:51566831-51567331",0
"chr14:51848054-51848554",0
"chr14:51866194-51866694",3
"chr14:52175858-52176358",2
"chr14:52352073-52352573",2
"chr14:52402795-52403295",1
"chr14:54669784-54670284",1
"chr14:55271911-55272411",0
"chr14:58243800-58244300",0
"chr14:61347986-61348486",1
"chr14:61355750-61356250",2
"chr14:61456596-61457096",3
"chr14:61475189-61475689",0
"chr14:63276678-63277178",0
"chr14:63383705-63384205",4
"chr14:63650288-63650788",3
"chr14:64294261-64294761",0
"chr14:64510998-64511498",2
"chr14:64542181-64542681",2
"chr14:67514483-67514983",0
"chr14:67881141-67881641",0
"chr14:68789568-68790068",1
"chr14:68791609-68792109",0
"chr14:68796006-68796506",0
"chr14:68796614-68797114",1
"chr14:68841330-68841830",1
"chr14:69584916-69585416",0
"chr14:70821960-70822460",3
"chr14:72717172-72717672",3
"chr14:72893254-72893754",2
"chr14:73503601-73504101",1
"chr14:73741473-73741973",1
"chr14:73759206-73759706",1
"chr14:75276971-75277471",1
"chr14:75277490-75277990",2
"chr14:75279274-75279774",4
"chr14:75280812-75281312",4
"chr14:75281324-75281824",3
"chr14:75282030-75282530",2
"chr14:75282712-75283212",4
"chr14:75283283-75283783",4
"chr14:75296017-75296517",1
"chr14:77033383-77033883",1
"chr14:77033892-77034392",1
"chr14:77053179-77053679",1
"chr14:80586990-80587490",1
"chr14:80930864-80931364",3
"chr14:80942049-80942549",0
"chr14:81453094-81453594",2
"chr14:81474023-81474523",0
"chr14:91228381-91228881",2
"chr14:91252697-91253197",3
"chr14:91348862-91349362",0
"chr14:91351518-91352018",2
"chr14:91387896-91388396",1
"chr14:91401729-91402229",1
"chr14:91409760-91410260",4
"chr14:91413477-91413977",0
"chr14:92105686-92106186",2
"chr14:92532641-92533141",0
"chr14:93116284-93116784",2
"chr14:94173244-94173744",0
"chr14:94945592-94946092",2
"chr14:95535108-95535608",0
"chr14:96362500-96363000",2
"chr14:96502941-96503441",0
"chr14:97378612-97379112",0
"chr14:97602737-97603237",2
"chr14:97994231-97994731",4
"chr14:99055670-99056170",3
"chr14:99240525-99241025",2
"chr15:101723548-101724048",1
"chr15:24954755-24955255",0
"chr15:28106496-28106996",0
"chr15:31338794-31339294",0
"chr15:31342619-31343119",0
"chr15:31356999-31357499",2
"chr15:31871106-31871606",0
"chr15:34436840-34437340",0
"chr15:40470709-40471209",4
"chr15:41116796-41117296",2
"chr15:41493040-41493540",2
"chr15:41493554-41494054",2
"chr15:41494185-41494685",1
"chr15:41558939-41559439",2
"chr15:41661652-41662152",2
"chr15:41934797-41935297",2
"chr15:43370840-43371340",3
"chr15:43371403-43371903",0
"chr15:43745556-43746056",0
"chr15:43791341-43791841",1
"chr15:44709877-44710377",0
"chr15:44784358-44784858",2
"chr15:45022841-45023341",0
"chr15:45461530-45462030",0
"chr15:45586431-45586931",0
"chr15:51981579-51982079",0
"chr15:52045685-52046185",0
"chr15:52481841-52482341",4
"chr15:55244998-55245498",2
"chr15:55267252-55267752",3
"chr15:60004345-60004845",0
"chr15:60526223-60526723",0
"chr15:60591028-60591528",2
"chr15:61834033-61834533",0
"chr15:63122269-63122769",2
"chr15:63190258-63190758",3
"chr15:63203711-63204211",1
"chr15:63213832-63214332",1
"chr15:63860096-63860596",2
"chr15:64825023-64825523",1
"chr15:65028882-65029382",2
"chr15:65029397-65029897",0
"chr15:65217425-65217925",0
"chr15:65286152-65286652",1
"chr15:65296376-65296876",4
"chr15:65304754-65305254",1
"chr15:65638531-65639031",0
"chr15:66498759-66499259",0
"chr15:67056172-67056672",2
"chr15:67834900-67835400",1
"chr15:67835442-67835942",1
"chr15:68276942-68277442",3
"chr15:68817944-68818444",3
"chr15:69414600-69415100",0
"chr15:69451810-69452310",2
"chr15:69454895-69455395",0
"chr15:70096256-70096756",2
"chr15:72228400-72228900",0
"chr15:72230177-72230677",3
"chr15:72721995-72722495",0
"chr15:72782811-72783311",0
"chr15:72796720-72797220",1
"chr15:73051937-73052437",4
"chr15:73920536-73921036",0
"chr15:73996893-73997393",3
"chr15:74598173-74598673",0
"chr15:74873558-74874058",0
"chr15:74956552-74957052",1
"chr15:75578601-75579101",2
"chr15:75626170-75626670",0
"chr15:75647519-75648019",4
"chr15:77633397-77633897",0
"chr15:78035331-78035831",1
"chr15:78045095-78045595",3
"chr15:78046330-78046830",2
"chr15:78048996-78049496",0
"chr15:78050839-78051339",2
"chr15:78056346-78056846",0
"chr15:78195575-78196075",1
"chr15:78507314-78507814",4
"chr15:78565200-78565700",1
"chr15:84604751-84605251",0
"chr15:85380940-85381440",4
"chr15:85413420-85413920",2
"chr15:85707679-85708179",0
"chr15:86611589-86612089",0
"chr15:89399199-89399699",2
"chr15:89399742-89400242",1
"chr15:90001755-90002255",0
"chr15:90265921-90266421",1
"chr15:90351943-90352443",0
"chr15:90564110-90564610",0
"chr15:90657734-90658234",0
"chr15:90955261-90955761",2
"chr15:90956469-90956969",3
"chr15:93047578-93048078",1
"chr15:93141214-93141714",3
"chr15:98428287-98428787",0
"chr16:10737000-10737500",0
"chr16:11915058-11915558",1
"chr16:1300790-1301290",1
"chr16:1351626-1352126",3
"chr16:1378903-1379403",0
"chr16:1474827-1475327",4
"chr16:1493064-1493564",0
"chr16:1493662-1494162",0
"chr16:1612511-1613011",4
"chr16:17013783-17014283",3
"chr16:1705367-1705867",4
"chr16:17449506-17450006",2
"chr16:17591032-17591532",1
"chr16:1783097-1783597",1
"chr16:180158-180658",0
"chr16:1825928-1826428",1
"chr16:1827212-1827712",0
"chr16:18800947-18801447",3
"chr16:1942579-1943079",3
"chr16:19559287-19559787",0
"chr16:1963400-1963900",1
"chr16:1972396-1972896",2
"chr16:1990135-1990635",0
"chr16:20806326-20806826",1
"chr16:21583918-21584418",2
"chr16:21952053-21952553",3
"chr16:22192145-22192645",4
"chr16:22195577-22196077",0
"chr16:22262406-22262906",0
"chr16:235361-235861",1
"chr16:23556887-23557387",1
"chr16:2423043-2423543",1
"chr16:24516928-24517428",2
"chr16:2460286-2460786",0
"chr16:25030875-25031375",2
"chr16:25060870-25061370",2
"chr16:2512893-2513393",1
"chr16:2514583-2515083",4
"chr16:2682785-2683285",3
"chr16:27550479-27550979",1
"chr16:28139453-28139953",1
"chr16:28146464-28146964",2
"chr16:28491297-28491797",2
"chr16:28824177-28824677",3
"chr16:28880240-28880740",0
"chr16:28936447-28936947",0
"chr16:28973894-28974394",1
"chr16:2906947-2907447",1
"chr16:2919612-2920112",3
"chr16:29585082-29585582",0
"chr16:2963964-2964464",4
"chr16:29665712-29666212",2
"chr16:29700434-29700934",3
"chr16:29811274-29811774",2
"chr16:2983565-2984065",2
"chr16:29877366-29877866",1
"chr16:29925962-29926462",4
"chr16:30052828-30053328",3
"chr16:30066055-30066555",2
"chr16:30074911-30075411",1
