"Sample","chrY","chrX","xist","chrY_frac","xist_frac","chrY_chrX_ratio"
"ATAC_HIP044_fragments.tsv.gz",43163,609028,89,0.00168269016166776,3.46962501189516e-06,0.0708719467742041
"Bei_ATAC_OP_9.tsv.gz",547,577312,790,2.5794753083145e-05,3.72538481456756e-05,0.000947494595643257
"hiv1_fragments.tsv.gz",31143,635632,14,0.00106684997087855,4.79590906216478e-07,0.0489953306315604
"DU19-01S0004484.tsv.gz",24655,407116,31,0.00134881270289975,1.6959316077831e-06,0.060560135194883
"hiv9_fragments.tsv.gz",25330,494500,14,0.00116148625303297,6.41958450156397e-07,0.0512234580384226
"ATAC_flu01_3_fragments.tsv.gz",1688,497020,295,0.000150264806113,2.62607332958146e-05,0.00339624159993562
"ATAC_flu03_2_fragments.tsv.gz",26211,411468,37,0.00152405200720632,2.15138393295311e-06,0.0637011869695821
"ATAC_67_fragments.tsv.gz",1441,705990,789,6.2034015734771e-05,3.39658837021057e-05,0.00204110539809346
"hiv3_fragments.tsv.gz",23190,511948,28,0.000989948162830806,1.19528023110231e-06,0.0452975692843804
"ATAC_555_1_fragments.tsv.gz",30594,404799,67,0.00180167914093225,3.94562667328433e-06,0.0755782499462696
"ATAC_558_fragments.tsv.gz",18308,296935,30,0.00137911989281011,2.25986436444742e-06,0.0616565915099264
"ATAC_83_fragments.tsv.gz",28207,449284,48,0.00145233526984901,2.47144655414445e-06,0.0627821155438431
"hiv8_fragments.tsv.gz",16968,347849,11,0.00106033326259446,6.87391907622526e-07,0.0487797866315556
"ATAC_556_fragments.tsv.gz",23028,311822,57,0.00180147464640349,4.45909565941459e-06,0.0738498245794075
"ATAC_EV08_fragments.tsv.gz",19719,339752,28,0.00135224181449332,1.92011617251448e-06,0.0580393934399209
"ATAC_555_2_fragments.tsv.gz",20302,269720,47,0.00180257897892096,4.17304758197641e-06,0.0752706510455287
"ATAC_52_fragments.tsv.gz",16629,264279,35,0.00149147855312319,3.13919955254746e-06,0.0629221391029934
"hiv12_fragments.tsv.gz",9637,185497,4,0.00117811995185319,4.88998631048332e-07,0.051952322679073
"ATAC_HIP023_frozen_fragments.tsv.gz",879,309692,323,9.51126489760025e-05,3.49503818193957e-05,0.00283830386319311
"ATAC_564A_fragments.tsv.gz",622,225426,198,9.41830175905713e-05,2.99810892008571e-05,0.00275922032063737
"ATAC_557_fragments.tsv.gz",11891,146068,26,0.0019455001453685,4.25388981410992e-06,0.0814072897554564
"ATAC_132D0_fragments.tsv.gz",457,226989,237,6.53999586706607e-05,3.39163899451785e-05,0.00201331342047412
"ATAC_66D0_fragments.tsv.gz",7646,118959,11,0.00147069459255258,2.11583056736574e-06,0.0642742457485352
"ATAC_HIP045_fragments.tsv.gz",6308,98786,11,0.00150317064632763,2.62125509029866e-06,0.0638552021541514
"ATAC_055_fragments.tsv.gz",633,190445,169,0.000125103610691793,3.34004900583145e-05,0.00332379427131193
"ATAC_559_fragments.tsv.gz",4831,78031,10,0.00144072280087726,2.98224549964243e-06,0.0619112916661327
"ATAC_86_fragments.tsv.gz",361,143277,150,8.43735903650502e-05,3.50582785450347e-05,0.00251959491055787
"ATAC_560_fragments.tsv.gz",3160,38681,9,0.00200154296159951,5.70059704253025e-06,0.0816938548641452
"ATAC_057_fragments.tsv.gz",189,52824,33,0.000140792610250298,2.45828367103695e-05,0.00357791912766924
"ATAC_564B_fragments.tsv.gz",67,18623,6,0.000147989768826728,1.32528151188115e-05,0.00359770176663266
"DU19-01S0004718.tsv.gz",149,2820,0,0.00114155251141553,0,0.0528368794326241
