"","group","group_name","seqnames","start","end","strand","name","idx","Log2FC","FDR","MeanDiff"
"10612",1,"C1","chr17",65641033,65528563,2,"AXIN2",1126,1.34054621160195,3.41928898930777e-23,0.254288361497245
"13915",1,"C1","chr2",160493794,160272151,2,"RBMS1",966,0.807362861635757,3.79981650957578e-23,0.525884793591858
"5877",1,"C1","chr12",96194382,96269835,1,"ELK3",892,0.704351172852625,3.86105626155648e-23,0.535350284815648
"8212",1,"C1","chr15",73928248,73908071,2,"LOXL1-AS1",544,1.84525725913472,4.27614655998752e-23,0.416264098800689
"2726",1,"C1","chr10",45374176,45446119,1,"ALOX5",274,2.18520651422141,4.34971482889979e-23,0.220474550423211
"19317",1,"C1","chr5",142325293,142672001,1,"SPRY4-AS1",824,0.963954612530452,4.86938200135587e-23,0.437711923333289
"9817",1,"C1","chr17",17042545,17217679,1,"MPRIP",331,0.760382599176179,6.87639972113553e-23,0.659938275388216
"10614",1,"C1","chr17",66256525,66212033,2,"APOH",1128,2.15779415476369,7.79019878130177e-23,0.134669628828566
"12022",1,"C1","chr19",34254537,34355586,1,"KIAA0355",726,0.936050994831121,8.39872350632517e-23,0.323197278383497
"14371",1,"C1","chr2",227871054,227924344,1,"DAW1",1422,2.5642986966529,9.70251246135719e-23,0.289649675978468
"5957",1,"C1","chr12",107318413,107659642,1,"BTBD11",972,1.13284454363928,3.12521259599247e-22,0.601986807864234
"13423",1,"C1","chr2",70554193,70447280,2,"TGFA",474,1.61292388962422,4.15984517928281e-22,0.283791591803718
"14623",1,"C1","chr20",4686236,4701590,1,"PRNP",94,0.975693528209067,4.55962697224778e-22,0.447645236921117
"7258",1,"C1","chr14",70641787,70675360,1,"TTC9",440,1.77111918055206,6.62240768747219e-22,0.249986769105855
"23130",1,"C1","chr9",33402682,33383179,2,"AQP7",153,1.80917684430795,8.02982246317073e-22,0.20526827314031
"13712",1,"C1","chr2",112138385,112188216,1,"FBLN7",763,1.96170606381754,1.12162477969834e-21,0.198691848982191
"5200",1,"C1","chr12",12357079,12469694,1,"BORCS5",215,0.656344522264641,1.12501492445328e-21,0.551915492961642
"4828",1,"C1","chr11",119321521,119308529,2,"MCAM",1406,1.39172022342323,1.14769864957546e-21,0.406583273804356
"22588",1,"C1","chr8",85464915,85441851,2,"CA3-AS1",508,2.0129599880171,1.18878034038502e-21,0.233516753458264
"3327",1,"C1","chr10",122461525,122514908,1,"HTRA1",875,2.19235783407586,1.40998782041685e-21,0.229091030606786
"17481",1,"C1","chr3",194686544,194689037,1,"FAM43A",1349,1.10214271763883,1.42302396766839e-21,0.833773894126174
"23710",1,"C1","chr9",127980513,127940579,2,"FAM102A",733,0.675715840998118,1.56431021613359e-21,0.498020000050533
"11039",1,"C1","chr18",23992773,24135610,1,"TTC39C",127,0.754082284473216,1.6260960576584e-21,0.471977758731231
"13629",1,"C1","chr2",100208254,100251484,1,"LINC01104",680,2.5903832263191,1.82386774208579e-21,0.263290406547694
"13267",1,"C1","chr2",46293667,46386703,1,"EPAS1",318,1.22281163927655,1.91849263852444e-21,0.327403655880576
"16681",1,"C1","chr3",58008400,58172251,1,"FLNB",549,1.11685748000844,2.40756505298495e-21,0.300931338646064
"2096",1,"C1","chr1",206684944,206734283,1,"MAPKAPK2",2096,0.680086265444283,2.65332007624337e-21,0.531250589943625
"14807",1,"C1","chr20",32509959,32520285,1,"LOC101929698",278,1.02423857658991,3.03930777706869e-21,0.359505654307661
"3766",1,"C1","chr11",18588747,18529609,2,"UEVLD",344,1.21368036839294,3.21281205797174e-21,0.253472405558458
"16084",1,"C1","chr22",47487111,47461299,2,"LINC01644",513,2.33551546408218,3.21281205797174e-21,0.16976274507891
"391",1,"C1","chr1",24502351,24541040,1,"RCAN3",391,0.865583398474136,3.63192144064902e-21,0.447235150313658
"15943",1,"C1","chr22",39244751,39223359,2,"PDGFB",372,0.945705320757736,4.68068815742171e-21,0.473749560700578
"17262",1,"C1","chr3",161372880,161344792,2,"SPTSSB",1130,1.6419257996225,6.04823612437029e-21,0.223640837761526
"333",1,"C1","chr1",21345504,21217247,2,"ECE1",333,0.674767409059059,6.39704071845367e-21,0.523541037319978
"23220",1,"C1","chr9",37592469,37510892,2,"FBXO10",243,0.962616274197298,6.84109406218797e-21,0.31665192097465
"13159",1,"C1","chr2",28457145,28643788,1,"PLB1",210,0.823225075336321,8.93572830103346e-21,0.384257144453357
"9230",1,"C1","chr16",68264516,68301823,1,"SLC7A6",745,0.858487931086651,9.18910929486548e-21,0.404062312317323
"11605",1,"C1","chr19",10010471,9959561,2,"COL5A3",309,2.12211403976475,1.08465814486875e-20,0.349733810751382
"11617",1,"C1","chr19",10231272,10221435,2,"S1PR2",321,1.16214172286466,1.10877460583469e-20,0.445383814353236
"10127",1,"C1","chr17",40100725,40092787,2,"NR1D1",641,0.58270656627608,1.25040451268722e-20,0.789751821423264
"14299",1,"C1","chr2",218880363,218893931,1,"WNT10A",1350,0.733012021031809,1.50619561143073e-20,0.635882664059305
"3412",1,"C1","chr10",133336872,133327427,2,"CALY",960,1.06956921150476,1.89055878198939e-20,0.54035463554958
"2503",1,"C1","chr10",6152196,6152277,1,"MIR3155A",51,0.785621798437055,1.95534883915105e-20,0.684574673743254
"3691",1,"C1","chr11",10308313,10410838,1,"CAND1.11",269,1.03789681132989,2.21895194102104e-20,0.311964588381216
"12257",1,"C1","chr19",41428730,41425359,2,"B3GNT8",961,1.7533599060328,2.32071884294363e-20,0.618359268282878
"19138",1,"C1","chr5",134114711,134151865,1,"TCF7",645,0.646823491361002,2.95601173137723e-20,0.562722893965079
"10736",1,"C1","chr17",75878575,75874161,2,"TRIM47",1250,1.30804211420465,4.25456950670635e-20,0.484217346823805
"5947",1,"C1","chr12",106304279,106237877,2,"CKAP4",962,0.822964505191813,4.27902777434891e-20,0.404237460774054
"19215",1,"C1","chr5",139647299,139683882,1,"CXXC5",722,0.748594027170735,4.85507049475684e-20,0.534343666471178
"8076",1,"C1","chr15",62165283,62163535,2,"C2CD4B",408,2.60279659990921,5.13653008146833e-20,0.484711792735747
"19581",1,"C1","chr5",177379235,177398848,1,"SLC34A1",1088,1.2372491838508,5.41113791024243e-20,0.294186277743919
"24606",1,"C1","chrX",118974614,119018355,1,"LONRF3",643,1.49285736952907,5.45674713835801e-20,0.295805033372644
"4283",1,"C1","chr11",65558930,65538560,2,"LTBP3",861,0.615944172767215,5.85153171706163e-20,0.566160353882696
"21894",1,"C1","chr7",139777778,139561570,2,"HIPK2",950,1.09030840038062,5.93915805039793e-20,0.321314932503211
"17166",1,"C1","chr3",148991341,149027668,1,"GYG1",1034,0.899676458878137,6.63475001719436e-20,0.431230730858051
"20986",1,"C1","chr7",2527074,2527145,1,"MIR4648",42,0.944356779334593,7.18800363956367e-20,0.934873600575157
"2502",1,"C1","chr10",6144934,6235545,1,"PFKFB3",50,0.694303029121967,7.72204321204591e-20,0.601878330181553
"1440",1,"C1","chr1",151841877,151850385,1,"C2CD4D-AS1",1440,1.32283102449672,8.71582223875581e-20,0.579587649642255
"13424",1,"C1","chr2",70468495,70467385,2,"TGFA-IT1",475,1.66325419564618,1.1882216498764e-19,0.312663046748548
"14806",1,"C1","chr20",32585074,32443059,2,"NOL4L",277,0.663501950821492,1.51777063254571e-19,0.518299419354689
"5950",1,"C1","chr12",106774918,106495958,2,"LOC100287944",965,1.07968381766042,1.64356976296348e-19,0.271753853371466
"21653",1,"C1","chr7",102433106,102456821,1,"ORAI2",709,0.805904378839773,1.64356976296348e-19,0.458949103547241
"23584",1,"C1","chr9",114505450,114402080,2,"WHRN",607,0.870670409912076,2.44896288509037e-19,0.32979388473698
"5470",1,"C1","chr12",52006940,52015889,1,"GRASP",485,1.37400178027512,3.79168254894546e-19,0.436250591488558
"15374",1,"C1","chr21",32587373,32574841,2,"TCP10L",130,1.21899722734398,4.0610055522075e-19,0.192702949687917
"18838",1,"C1","chr5",73120292,73131817,1,"TMEM171",345,3.05133303505746,4.33572263884401e-19,0.227243905029494
"371",1,"C1","chr1",23581495,23640568,1,"MDS2",371,1.28995337362663,6.53552276270133e-19,0.220753842627485
"13221",1,"C1","chr2",38665910,38741237,1,"GALM",272,0.720379846184357,7.68168477110156e-19,0.557614401304378
"20907",1,"C1","chr6",167325086,167359503,1,"TTLL2",1252,1.61219571760824,7.68168477110156e-19,0.226438975661918
"10615",1,"C1","chr17",66302636,66810743,1,"PRKCA",1129,1.38614339106823,8.19782670484417e-19,0.636999855977127
"20445",1,"C1","chr6",79947580,79914812,2,"ELOVL4",790,0.971197237076561,1.06973615301285e-18,0.313733989632535
"7203",1,"C1","chr14",64879883,64746283,2,"SPTB",385,1.13671799584428,1.42713530271453e-18,0.362370542696052
"8381",1,"C1","chr15",88913411,88898683,2,"MFGE8",713,1.21962083367879,1.52512428839921e-18,0.303314911881588
"12923",1,"C1","chr19",58118427,58083838,2,"ZSCAN18",1627,2.53074934774716,1.67674910341118e-18,0.212128593410636
"22937",1,"C1","chr8",144291370,144262102,2,"BOP1",857,0.861160975654542,1.73409807563379e-18,0.363268118972375
"10565",1,"C1","chr17",62808344,62701314,2,"MARCH10",1079,1.29461385825637,2.0564468227202e-18,0.226534328727764
"1005",1,"C1","chr1",84893213,84811602,2,"LPAR3",1005,1.82794880223862,2.16192550874194e-18,0.281434535562092
"11931",1,"C1","chr19",19628930,19623668,2,"LPAR2",635,1.30297994848791,2.27386410581056e-18,0.422006705048813
"16368",1,"C1","chr3",39154562,39141855,2,"CSRNP1",236,0.70148585839355,2.28387500235163e-18,0.647459113166805
"5510",1,"C1","chr12",53103518,53124538,1,"SOAT2",525,1.39334642778819,2.34149321817563e-18,0.213809315059323
"16918",1,"C1","chr3",119294373,119420714,1,"ARHGAP31",786,0.774072744263673,2.4376371617525e-18,0.364008872013931
"19522",1,"C1","chr5",172758226,172762556,1,"LOC101928093",1029,0.678080795239141,3.01864246078564e-18,0.564102329701296
"11618",1,"C1","chr19",10230413,10230485,1,"MIR4322",322,1.1328514636886,3.03397400412789e-18,0.713457118377596
"12871",1,"C1","chr19",56538948,56556810,1,"ZFP28",1575,2.41514241724848,3.51485773514243e-18,0.182842623945312
"8358",1,"C1","chr15",84980440,85139145,1,"PDE8A",690,0.797815494034282,4.07542261143184e-18,0.377454754685589
"6700",1,"C1","chr13",99307405,99294530,2,"GPR183",441,0.910734288160879,4.2504939133344e-18,0.439958108967213
"2553",1,"C1","chr10",14774897,14518557,2,"FAM107B",101,0.579878450535986,6.47493829655636e-18,0.517924912667279
"3692",1,"C1","chr11",10317671,10507579,1,"AMPD3",270,1.20525592898222,9.73812434521335e-18,0.248388092188811
"15880",1,"C1","chr22",37109563,37065436,2,"TMPRSS6",309,0.886612032089971,1.43607170040108e-17,0.249962395279253
"6774",1,"C1","chr13",111144733,111144305,2,"ARHGEF7-AS1",515,0.805547826463332,1.44319299243007e-17,0.533430143924988
"13648",1,"C1","chr2",102186973,102240002,1,"IL1RL2",699,1.09461233960511,1.5225968617851e-17,0.206490078893201
"16818",1,"C1","chr3",101513241,101324205,2,"SENP7",686,1.00186065440682,1.5679435665336e-17,0.270416804709969
"4848",1,"C1","chr11",121452203,121633693,1,"SORL1",1426,0.813358534054464,1.77196920927087e-17,0.558978001444807
"10891",1,"C1","chr17",82212830,82101460,2,"CCDC57",1405,0.751129180429918,2.08596399685107e-17,0.364474605676691
"9427",1,"C1","chr16",87834660,87834592,2,"MIR6775",942,0.853585408885034,2.21283868148084e-17,0.877199515625982
"878",1,"C1","chr1",59814786,59876378,1,"HOOK1",878,1.5817210696038,2.23272515468914e-17,0.153609768117103
"16391",1,"C1","chr3",42489299,42537573,1,"VIPR1",259,1.63286393641895,2.7353243354651e-17,0.308780632818473
"10187",1,"C1","chr17",41315695,41314917,2,"KRTAP17-1",701,1.23314415524101,3.15751639156063e-17,0.292117645036743
"2500",1,"C1","chr10",6062325,6010689,2,"IL2RA",48,0.950247408318303,3.20319790261858e-17,0.439332704171699
"2538",1,"C1","chr10",12349482,12835545,1,"CAMK1D",86,0.581158918528323,3.28309288704666e-17,0.422472336450626
"21469",1,"C1","chr7",87713323,87503633,2,"ABCB1",525,1.03109708564347,3.68789473414456e-17,0.275159724549451
"15499",1,"C1","chr21",43362349,43358147,2,"LINC01679",255,1.22345577400391,4.01593842271335e-17,0.492534244933519
"6283",1,"C1","chr13",21061547,20973032,2,"LATS2",24,1.10763442305293,4.26485209025109e-17,0.240525575401506
"6875",1,"C1","chr14",21070270,21090240,1,"ARHGEF40",57,1.11655124365646,5.46919789059993e-17,0.335179815166266
"2234",1,"C1","chr1",225882369,225845536,2,"TMEM63A",2234,1.07393064676571,5.53702330746257e-17,0.309244122706492
"6697",1,"C1","chr13",99200774,99386434,1,"UBAC2",438,0.564047626174813,5.55265234124172e-17,0.826031596878291
