"","seqnames","idx","start","end","Log2FC","FDR","MeanDiff"
"63868","chr19",4447,37594554,37595054,-1.46568097833104,0.000138018741399183,-0.241571935915069
"21703","chr11",2624,61816749,61817249,-1.68099973101402,0.000140263836486103,-0.190248007713666
"43166","chr15",2827,76905131,76905631,-1.21096406535555,0.000141575996175106,-0.247677545392312
"20393","chr11",1314,17388620,17389120,-2.15336593253171,0.00014957906656852,-0.0955561542799481
"98886","chr5",2051,79236318,79236818,-1.15619746004408,0.000150769191228113,-0.136334214836475
"107881","chr6",4889,107823026,107823526,-1.48085790389694,0.000150769191228113,-0.180310903538178
"8234","chr1",8234,155140308,155140808,-1.0491547075349,0.000155237361418335,-0.150297763095073
"17417","chr10",4347,100987248,100987748,-1.34118442970054,0.000155237361418335,-0.186380670145435
"51494","chr17",1730,21126675,21127175,-1.06369185743729,0.000155237361418335,-0.191380688602306
"63279","chr19",3858,23762671,23763171,-1.07872084338379,0.00016554151320246,-0.150370331384528
"51991","chr17",2227,32007076,32007576,-1.01006253871443,0.000169524040391486,-0.166308494571305
"87234","chr3",2212,47789008,47789508,-1.05729177138193,0.000169524040391486,-0.235773891724497
"21969","chr11",2890,63769021,63769521,-2.04474363036951,0.000172488415314495,-0.0997977024679084
"2095","chr1",2095,24413542,24414042,-1.50095774529053,0.000183736142547373,-0.12734557030198
"2940","chr1",2940,30756465,30756965,-1.3928112806247,0.000183736142547373,-0.173289930158308
"27912","chr12",2026,46216142,46216642,-2.22302189602007,0.000183736142547373,-0.132911605985062
"43013","chr15",2674,74889767,74890267,-1.51443424624047,0.000183736142547373,-0.209275502931103
"92133","chr3",7111,196287488,196287988,-1.18584103002046,0.000183736142547373,-0.149812533735328
"8129","chr1",8129,154627736,154628236,-1.03911544286117,0.000185164260223784,-0.116230697167205
"89877","chr3",4855,129399478,129399978,-1.21008565209026,0.000185164260223784,-0.165469865735825
"35441","chr14",36,20609262,20609762,-1.08674183507708,0.000194437415016353,-0.128876235011577
"63857","chr19",4436,37334385,37334885,-1.25889826043747,0.000211423776762876,-0.169984930208501
"53903","chr17",4139,48578189,48578689,-1.81478643284161,0.000211641893909936,-0.192751173534856
"53743","chr17",3979,47721131,47721631,-1.47628573922263,0.000219453628982375,-0.219352144313925
"5305","chr1",5305,77758998,77759498,-1.07999137644771,0.000226840737360899,-0.154718767701812
"11782","chr1",11782,223712166,223712666,-1.11091405587692,0.000226840737360899,-0.154253865742776
"1148","chr1",1148,11735811,11736311,-1.18622582899975,0.000230264413295914,-0.124960736519887
"26398","chr12",512,6772172,6772672,-2.22426125206702,0.000230264413295914,-0.118300787746921
"113776","chr7",2880,73717897,73718397,-2.20084275404026,0.000230502691245828,-0.12330239300633
"113315","chr7",2419,50342586,50343086,-1.20312396570609,0.000237050784260611,-0.163093338561307
"81909","chr22",10,17087608,17088108,-1.4714245477362,0.000237743059050957,-0.112528671432912
"56654","chr17",6890,81097257,81097757,-2.32983610513464,0.000241499907993861,-0.126300738367519
"96897","chr5",62,892596,893096,-1.28403373611491,0.000256185367944668,-0.200601805788495
"68064","chr2",1208,27771434,27771934,-1.10987843184814,0.000265126587090532,-0.177693580868675
"44982","chr16",550,2926922,2927422,-1.40901017619229,0.00027959541348338,-0.234381797850037
"9063","chr1",9063,161540173,161540673,-1.35030204615725,0.000281180942710122,-0.219160635984458
"32224","chr12",6338,124566439,124566939,-1.2392011004224,0.000281180942710122,-0.173210766218465
"41440","chr15",1101,50686023,50686523,-1.64173091589082,0.000281180942710122,-0.162686112249679
"50381","chr17",617,5282026,5282526,-1.12651710317654,0.000281180942710122,-0.188350330684782
"82677","chr22",778,26428432,26428932,-1.32391317880714,0.000297475229005493,-0.11700603973674
"28976","chr12",3090,55716208,55716708,-1.10701320346129,0.000300633961244908,-0.208599640052446
"106191","chr6",3199,41560796,41561296,-1.61371547434684,0.000300633961244908,-0.201518279720816
"45529","chr16",1097,10963960,10964460,-1.59512698717047,0.000302862088223993,-0.133150605511795
"37342","chr14",1937,61750905,61751405,-1.2470762609702,0.000318974401768686,-0.182805392070706
"73927","chr2",7071,181146106,181146606,1.65654599516204,0.000318974401768686,0.352898501507818
"80838","chr21",360,32569613,32570113,-1.04500375886332,0.000318974401768686,-0.168981501663209
"84538","chr22",2639,45413436,45413936,-1.74321015635139,0.000318974401768686,-0.152940331300488
"105786","chr6",2794,35919714,35920214,-2.26286124110036,0.000324638230589363,-0.0969771694618513
"26953","chr12",1067,11648790,11649290,-1.89068263183856,0.000335513614343174,-0.172393885027106
"39101","chr14",3696,94080391,94080891,-1.9551687062942,0.000352602260637296,-0.141664046466496
"105663","chr6",2671,34888984,34889484,-1.03654264270645,0.000353999131952711,-0.212954988131824
"3309","chr1",3309,34866272,34866772,-1.87134988005675,0.000359893244721354,-0.209434320323326
"52054","chr17",2290,32876222,32876722,-2.01273535588086,0.000359893244721354,-0.129641415402652
"104943","chr6",1951,30744098,30744598,-1.51347438931687,0.000359893244721354,-0.128004646451865
"42624","chr15",2285,69467818,69468318,-2.29527624882426,0.000364275313520403,-0.107909417422731
"76085","chr2",9229,232550800,232551300,-1.32310946232037,0.00037565328203512,-0.254687005411379
"61209","chr19",1788,9620939,9621439,-1.21620198025084,0.000386732087139106,-0.206162343469638
"103411","chr6",419,7390174,7390674,-1.15018898271729,0.000391127655368394,-0.129702263564599
"70431","chr2",3575,84908876,84909376,-1.39533320033896,0.000399531515593056,-0.187737843738461
"4367","chr1",4367,47314567,47315067,-2.53889494558249,0.000402583504234243,-0.10745243277683
"31591","chr12",5705,119877134,119877634,-1.17273845743728,0.000402583504234243,-0.215471662173092
"123429","chr9",1306,70411310,70411810,-1.17777349943895,0.000402583504234243,-0.197643054237341
"75377","chr2",8521,218671759,218672259,-1.07858542755607,0.000406729484831092,-0.180352776352677
"51029","chr17",1265,14069261,14069761,-1.15505446800425,0.000407562658439702,-0.150438093343248
"65779","chr19",6358,49363262,49363762,-1.48040159838796,0.000407562658439702,-0.137853782120902
"7618","chr1",7618,150149618,150150118,-1.20263442356143,0.000408183479823966,-0.185956970786021
"24659","chr11",5580,116853973,116854473,-2.43879576427009,0.000408183479823966,-0.116950874720377
"61191","chr19",1770,9140111,9140611,-1.20262496371435,0.000421149886630343,-0.132375125546645
"47489","chr16",3057,56999346,56999846,-2.04284157838417,0.000422802030463144,-0.125540580685564
"78010","chr20",1154,32585231,32585731,-1.68095529809552,0.000422802030463144,-0.100132254057925
"61272","chr19",1851,10105461,10105961,-1.41427065006532,0.000430765345537651,-0.216849816339947
"39798","chr14",4393,102319427,102319927,-1.24758688619842,0.000444342010475242,-0.230091805113134
"116531","chr7",5635,148883212,148883712,-1.26733486803119,0.000444342010475242,-0.124821818910405
"41875","chr15",1536,60540274,60540774,-1.08705455074486,0.000446655950045455,-0.1722286229699
"17563","chr10",4493,102225982,102226482,-1.27699152738609,0.000447132558283551,-0.205220536234455
"22659","chr11",3580,66371566,66372066,-1.38078126005857,0.000448915428843298,-0.213126064765346
"119350","chr8",2092,66712469,66712969,-1.92885969821639,0.000448915428843298,-0.155035387502507
"29335","chr12",3449,57754690,57755190,-1.27143919203666,0.000449578494385296,-0.177323044005241
"41014","chr15",675,41493528,41494028,-1.57546434474254,0.000452502854804096,-0.16567598200455
"78059","chr20",1203,33443118,33443618,-1.98628998748455,0.000452502854804096,-0.102853223753464
"81918","chr22",19,17158409,17158909,-2.41444881234313,0.000452502854804096,-0.147406064921473
"60881","chr19",1460,6767896,6768396,-1.03582897750462,0.00045399071777872,-0.217663050416453
"123873","chr9",1750,85805056,85805556,-1.28194009117031,0.00045399071777872,-0.162326008539711
"26302","chr12",416,6460904,6461404,-1.77063677636059,0.000457156975518503,-0.149156684135018
"49888","chr17",124,1487859,1488359,-1.75082962580366,0.000457156975518503,-0.177035026258333
"105483","chr6",2491,33345158,33345658,-1.10644429490607,0.000461618160940526,-0.180732190229909
"26767","chr12",881,10153173,10153673,-1.84671414421741,0.000468860964541577,-0.135598400663152
"31886","chr12",6000,121750529,121751029,-1.7747617159069,0.000468860964541577,-0.111377293318935
"43401","chr15",3062,78944837,78945337,-1.0407404578336,0.000476266444071546,-0.124989583191406
"84082","chr22",2183,41197306,41197806,-1.21368665262942,0.000477729992526442,-0.229268181114416
"29345","chr12",3459,57772650,57773150,-3.76387386560986,0.000497119093848626,-0.0738260879906245
"78774","chr20",1918,43657309,43657809,-1.45106863271398,0.000497733674949378,-0.167716935085344
"103132","chr6",140,2857955,2858455,-1.77197757273773,0.000497733674949378,-0.111516697608855
"19365","chr11",286,1383178,1383678,-1.26885458515377,0.000502458591439293,-0.184056943681694
"79578","chr20",2722,51532802,51533302,-3.14564212994914,0.00050854820288024,-0.125688977471103
"77262","chr20",406,4814581,4815081,-1.18473008753325,0.000508999310019045,-0.162845862520111
"81513","chr21",1035,43776098,43776598,-1.17429023680886,0.000509825471963348,-0.16369551824193
"75823","chr2",8967,230411724,230412224,-1.03760047969062,0.000527260742312685,-0.15703256524864
"4540","chr1",4540,52698133,52698633,-1.24462366467196,0.000531368399376318,-0.117879219114276
"63565","chr19",4144,34404096,34404596,-1.42092218116514,0.000533909625367038,-0.202755565259985
"70342","chr2",3486,74554460,74554960,-1.02387659334679,0.000534832284137823,-0.178924060312848
"17734","chr10",4664,103800735,103801235,2.09738941279127,0.00054875859243055,0.263741492775157
"52331","chr17",2567,36182861,36183361,-2.19545772263998,0.00054875859243055,-0.11437853495113
"14239","chr10",1169,22316114,22316614,-1.14313651785697,0.000551812584836467,-0.22574159654457
"31121","chr12",5235,109477111,109477611,-1.15404647844588,0.0005661261705592,-0.215340712252884
"28289","chr12",2403,49342424,49342924,-1.74505157935655,0.000568466767830611,-0.171789782414506
"65135","chr19",5714,45667919,45668419,-1.25407233016517,0.000568714287846453,-0.148947386339401
"1970","chr1",1970,23368940,23369440,-1.09131697477282,0.000574959223995731,-0.204296253989371
"41241","chr15",902,44712415,44712915,-1.2402888360337,0.000581662141919305,-0.152926593222441
"100825","chr5",3990,139342176,139342676,-1.14499047794404,0.000591136927485648,-0.170584282518557
"44874","chr16",442,2340071,2340571,-2.35288525943595,0.000597757054651581,-0.0859921598065325
"92889","chr4",600,6574891,6575391,-1.11606108341573,0.000597757054651581,-0.208756161950317
"117885","chr8",627,22693282,22693782,-1.07650620167713,0.000597757054651581,-0.162102777333418
"35222","chr13",2663,113758922,113759422,-1.54689710371603,0.000597821092648593,-0.129950553779361
"87463","chr3",2441,49929652,49930152,-1.15096644683442,0.000598427666048674,-0.134758229165251
"42449","chr15",2110,67065344,67065844,-1.19677518150226,0.000602418219323422,-0.189896069885748
"82947","chr22",1048,30634354,30634854,-1.19875346277859,0.000633420824062755,-0.151473297742411
"22142","chr11",3063,64723012,64723512,-1.20605176043469,0.00064211822037051,-0.206147503373482
"62850","chr19",3429,18416755,18417255,-1.30370458650185,0.000650898777233135,-0.154267959999336
"87225","chr3",2203,47578038,47578538,-1.63072247765075,0.000658941893222772,-0.125756673895724
"50658","chr17",894,7627667,7628167,-1.15338244371541,0.000671170398690944,-0.209221283479303
"12191","chr1",12191,228101642,228102142,-3.33151044186278,0.000710710469192371,-0.115087071602982
"12557","chr1",12557,234724176,234724676,-1.11325508679604,0.000710710469192371,-0.197306953234898
"28697","chr12",2811,53251850,53252350,-1.00372897473196,0.000710710469192371,-0.17982520451282
"81304","chr21",826,41361707,41362207,-1.05957745013641,0.000710710469192371,-0.189785907939962
"69431","chr2",2575,61144860,61145360,-1.12701943283934,0.000718236148172573,-0.140838178771838
"113125","chr7",2229,44856901,44857401,-1.46256642562887,0.000722607757848272,-0.178425189860557
"8602","chr1",8602,157138795,157139295,-1.62602939349884,0.000728976280723846,-0.128860021129894
"129033","chrX",1745,71619122,71619622,-1.65350920269565,0.000728976280723846,-0.123696845097746
"21711","chr11",2632,61891304,61891804,-1.07652659985747,0.000737165189658803,-0.118517908835311
"76016","chr2",9160,231612478,231612978,-1.73850745954081,0.000737165189658803,-0.153603602519812
"90686","chr3",5664,152243199,152243699,-2.71628279074223,0.000737165189658803,-0.0937810210660388
"8526","chr1",8526,156726527,156727027,-2.5096315381292,0.000739802718161999,-0.112913886877183
"28689","chr12",2803,53232084,53232584,-1.19017816518488,0.000740056668483347,-0.159541258447284
"110224","chr6",7232,157273582,157274082,-1.42678428672607,0.000744913035660782,-0.11474156401798
"52772","chr17",3008,39863999,39864499,-1.00550609234258,0.000752378968509511,-0.119486621895707
"124470","chr9",2347,95511290,95511790,-2.06268907354577,0.000758084975327115,-0.0988873320831395
"78716","chr20",1860,41142957,41143457,-1.67878509805878,0.000764028132760712,-0.0959166343209402
"23499","chr11",4420,76445531,76446031,-2.02842343058887,0.000768495392076394,-0.111781528813909
"81787","chr21",1309,45973573,45974073,-1.40302795213846,0.000770646185404851,-0.136699496881933
"41173","chr15",834,43777329,43777829,-1.11339463246325,0.000776861454161457,-0.209155905587602
"50848","chr17",1084,8376481,8376981,-1.00011091023182,0.000776861454161457,-0.19057858103694
"56793","chr17",7029,81861294,81861794,-1.19851321344488,0.000776861454161457,-0.175809221724714
"84054","chr22",2155,40818088,40818588,-3.92744811298603,0.000793017189653659,-0.0806346484832424
"45957","chr16",1525,19717987,19718487,-1.05632726962686,0.000801930861142238,-0.183793524212911
"52000","chr17",2236,32127294,32127794,-1.1029256385595,0.000801930861142238,-0.1943386358276
"7430","chr1",7430,146012939,146013439,-2.25700891747467,0.000808925349085223,-0.114119179129651
"98471","chr5",1636,68239497,68239997,-1.26085703564163,0.000809887599562742,-0.230999718330026
"17489","chr10",4419,101694938,101695438,-1.26020600328494,0.000810850983424165,-0.168367107758874
"25288","chr11",6209,122882648,122883148,-2.08891402825838,0.000810850983424165,-0.0968844850420799
"43310","chr15",2971,78077477,78077977,-1.08687778415025,0.00081151719951907,-0.193558020982849
"27062","chr12",1176,12724067,12724567,-1.30095049995591,0.000816138921855741,-0.0930451668411544
"60175","chr19",754,2494605,2495105,-1.19887280622745,0.000816138921855741,-0.19467722018944
"51209","chr17",1445,17237436,17237936,-1.12630063844559,0.000829182555567758,-0.200290068698438
"14983","chr10",1913,42552109,42552609,-1.41836046663478,0.000838054186161182,-0.109815597346985
"113755","chr7",2859,73606933,73607433,-2.66857327004865,0.000846501479762106,-0.0785696539737139
"128936","chrX",1648,70433723,70434223,-1.85618669362181,0.000853281951443012,-0.175144739690473
"24809","chr11",5730,118145256,118145756,-1.459936492296,0.00086725224397641,-0.146004818970724
"31848","chr12",5962,121624534,121625034,-1.68373437349422,0.000873175609277882,-0.119283260883379
"42591","chr15",2252,68820186,68820686,-1.68713464010796,0.000893916939908982,-0.146989903541937
"44469","chr16",37,235109,235609,-1.15342771821226,0.00094738398974883,-0.133416627845076
"105085","chr6",2093,31572482,31572982,-1.37377936004934,0.00096405479606249,-0.132826835775892
"21968","chr11",2889,63768106,63768606,-1.54834456070475,0.000966347492828799,-0.158259063483423
"65597","chr19",6176,48588805,48589305,-1.35303312905978,0.000970100609105982,-0.109987339206994
"121311","chr8",4053,133057321,133057821,-2.11782983337005,0.000971785152972571,-0.115949346585423
"31358","chr12",5472,112130528,112131028,-1.19481233364612,0.00098996329190646,-0.0876546191400794
"21120","chr11",2041,46121869,46122369,-1.06219610587507,0.000995744585602912,-0.151351447904007
"42628","chr15",2289,69475676,69476176,-2.7523134091366,0.00100782283517491,-0.108716574142507
"81141","chr21",663,36260425,36260925,-1.25805045371961,0.00100782283517491,-0.0782953399300768
"18346","chr10",5276,119516497,119516997,-2.89543544921983,0.00101231050951062,-0.124455130048291
"68889","chr2",2033,43158157,43158657,1.93020537360241,0.00101231050951062,0.178787810729208
"69723","chr2",2867,65432351,65432851,-1.26172957410046,0.00101231050951062,-0.113726928000781
"85390","chr3",368,12395246,12395746,5.84057876233793,0.00101231050951062,0.11306142302495
"87742","chr3",2720,52197753,52198253,-1.05543736851492,0.00101231050951062,-0.19973383839694
"116137","chr7",5241,139358464,139358964,-2.57699411655542,0.00101231050951062,-0.0976791530310744
"120109","chr8",2851,100158247,100158747,-1.16909578226866,0.00101231050951062,-0.162208856519107
"122283","chr9",160,4662011,4662511,-1.03072935388606,0.00101231050951062,-0.173095457200752
"114716","chr7",3820,101814062,101814562,-2.33000964760126,0.00102115378611197,-0.13420726066162
"77791","chr20",935,25321483,25321983,2.37785723911601,0.00106053286516827,0.170735848186258
"61688","chr19",2267,12613661,12614161,-1.44288710074243,0.00106123530694135,-0.145655606191436
"126589","chr9",4466,132670421,132670921,-1.02598220594505,0.00106123530694135,-0.193629601880162
"127540","chrX",252,12956101,12956601,-1.25957175845896,0.00106123530694135,-0.111722745349827
"127786","chrX",498,19683780,19684280,-1.70442693193811,0.00106163253638981,-0.102442069711114
"3974","chr1",3974,42765793,42766293,-3.88270229541188,0.00107831601391207,-0.0782662987784374
"10167","chr1",10167,192575461,192575961,1.77130590011158,0.00107994042614818,0.50660000477614
"28610","chr12",2724,52645271,52645771,1.13209511328662,0.00107994042614818,0.30413634111881
"3028","chr1",3028,31764165,31764665,-2.32216657968497,0.00108742001726829,-0.140967419637029
"76506","chr2",9650,238231442,238231942,-1.20328257081475,0.00108896129250878,-0.0989871370599271
"100855","chr5",4020,139454103,139454603,-1.30051949095812,0.00109704136614666,-0.171572549012534
"51144","chr17",1380,16653623,16654123,-1.02632771666135,0.00111643632827918,-0.124706150946483
"5859","chr1",5859,91875913,91876413,-2.09524680779032,0.00111755803401908,-0.13173193210465
"64898","chr19",5477,44304774,44305274,-1.9086504727591,0.00111931196795616,-0.14805338278912
"19137","chr11",58,355571,356071,-1.6737008019012,0.00112074388954286,-0.0708677209556664
"19874","chr11",795,6746239,6746739,-1.52327512722172,0.00112074388954286,-0.13029119427078
"121663","chr8",4405,142471875,142472375,-2.40073623226336,0.00114617865633434,-0.135702030961942
"58270","chr18",1142,46173002,46173502,-2.19949213290201,0.00115286925389127,-0.147077672346932
"19627","chr11",548,3049760,3050260,-1.19666475747059,0.00116790158886616,-0.22935134063012
"32141","chr12",6255,123533750,123534250,-1.1556334466904,0.00116790158886616,-0.115388633080266
"51217","chr17",1453,17303098,17303598,-1.27897789613991,0.00116790158886616,-0.142306239788011
"15379","chr10",2309,56361130,56361630,1.55951434222714,0.00117349969113342,0.668737423997799
"126527","chr9",4404,131762370,131762870,-1.8742144425436,0.00119977859145595,-0.131168169120079
"108181","chr6",5189,111761755,111762255,-1.50866712383125,0.00121080334909898,-0.130591907935112
"105887","chr6",2895,36678428,36678928,-1.38005631692252,0.00125350495845259,-0.155880003852464
"57529","chr18",401,11849880,11850380,-1.04937937673917,0.00126368255329,-0.110911721602423
"31225","chr12",5339,110582529,110583029,-1.11946924857042,0.00126675997171924,-0.106881683497918
"105361","chr6",2369,32940842,32941342,-1.26454336593171,0.00126675997171924,-0.128284313712501
"38860","chr14",3455,91510942,91511442,-2.26495407846177,0.00128148847464551,-0.0562904500661277
"105612","chr6",2620,34237908,34238408,-1.17679419377073,0.00128148847464551,-0.135531658734955
"10825","chr1",10825,203487665,203488165,-1.21431562130896,0.00129872246373386,-0.138217693200763
"1471","chr1",1471,15950846,15951346,-1.50162106492854,0.00132384633732529,-0.126396637923973
"12767","chr1",12767,236395097,236395597,-1.10186862203907,0.00133336077032074,-0.113970322354708
"126072","chr9",3949,129131597,129132097,-1.85214505018707,0.00134518067227684,-0.138550715078613
"86797","chr3",1775,43016020,43016520,-2.52175125587699,0.00135662970873524,-0.115714510279575
"72601","chr2",5745,144452095,144452595,-1.31621447829102,0.00136842209323134,-0.0992155778510342
"32586","chr13",27,19864961,19865461,-1.77774980127944,0.00136960847794968,-0.0787176448244686
"2944","chr1",2944,30759660,30760160,-2.05074823484071,0.00138895125791745,-0.198423608789058
"50360","chr17",596,5078223,5078723,-1.6935244633187,0.00139268186654339,-0.183017718121598
"2886","chr1",2886,29230689,29231189,-1.0638448684456,0.00140178097580859,-0.252451378609984
"22319","chr11",3240,65384352,65384852,-2.07934797007726,0.00140178097580859,-0.127915726291829
"46056","chr16",1624,21952056,21952556,-2.01878523150431,0.00140178097580859,-0.0710277144171792
"87406","chr3",2384,49358175,49358675,-1.18048650638104,0.00140178097580859,-0.145137978396838
"126804","chr9",4681,135499654,135500154,-1.2499453336991,0.00140178097580859,-0.114289150622937
"5786","chr1",5786,91501144,91501644,-1.39656643956372,0.0014127923420958,-0.126487327715161
"70028","chr2",3172,70133588,70134088,-2.38981271549878,0.00141956515775598,-0.12133917135791
"79426","chr20",2570,50483401,50483901,-1.3022578127042,0.00141973760256447,-0.109177619386091
"80802","chr21",324,31660511,31661011,-5.11575116628063,0.00141973760256447,-0.0676169679455465
"124551","chr9",2428,96566689,96567189,-1.02502958922944,0.00141973760256447,-0.154988322791464
"52732","chr17",2968,39773247,39773747,-2.27465647742342,0.00144900485053617,-0.13626652189428
"108829","chr6",5837,130132113,130132613,1.70200808372609,0.00145174037788841,0.442553960419721
